UID          PID    PPID  C STIME TTY          TIME CMD
kali        1355    1333  0 17:15 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 16 16777231 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
kali        1356    1333  0 17:15 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 17 16777232 notification-plugin Notification Plugin Notification plugin for the Xfce panel
kali        1357    1333  0 17:15 ?        00:00:02 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 18 16777233 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
kali        1358    1333  0 17:15 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libactions.so 22 16777234 actions Action Buttons Log out, lock or other system actions
kali        1383    1152  0 17:15 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/notifyd/xfce4-notifyd
kali        1428    1202  0 17:15 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
kali        1429    1202  0 17:15 ?        00:00:00 /usr/bin/python3 /usr/bin/blueman-applet
kali        1430    1202  0 17:15 ?        00:00:00 xfce4-power-manager
kali        1431    1202  0 17:15 ?        00:00:00 xiccd
kali        1436       1  0 17:15 ?        00:00:11 /usr/bin/vmtoolsd -n vmusr --blockFd 3
kali        1450       1  0 17:15 ?        00:00:00 xcape -e Super_L Control_L Escape
kali        1451    1202  0 17:15 ?        00:00:00 nm-applet
colord      1454       1  0 17:15 ?        00:00:00 /usr/libexec/colord
kali        1468    1202  0 17:15 ?        00:00:00 light-locker
kali        1475    1202  0 17:15 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
kali        1523    1152  0 17:15 ?        00:00:00 /usr/libexec/dconf-service
kali        1570    1152  0 17:15 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
root        1596       1  0 17:15 ?        00:00:00 /usr/libexec/udisks2/udisksd
kali        1619    1152  0 17:15 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
kali        1635    1152  0 17:15 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
kali        1640    1152  0 17:15 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
kali        1647    1152  0 17:15 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
kali        1663    1293  0 17:15 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
kali        1670    1152  0 17:15 ?        00:00:00 /usr/libexec/gvfsd-metadata
kali        1681    1152  0 17:15 ?        00:00:00 /usr/libexec/bluetooth/obexd
kali        2528       1  0 17:17 ?        00:00:14 /usr/bin/qterminal
kali        2531    2528  0 17:17 pts/0    00:00:08 /usr/bin/zsh
root       32222       2  0 18:15 ?        00:00:00 [kworker/u64:0-events_unbound]
root       54169       2  0 18:59 ?        00:00:00 [kworker/3:0-events]
root       55877       2  0 19:02 ?        00:00:00 [kworker/1:1-events]
root       62187       2  0 19:16 ?        00:00:00 [kworker/u64:1-flush-8:0]
root       76336       2  0 19:45 ?        00:00:00 [kworker/u64:2-events_unbound]
root       79000       2  0 19:51 ?        00:00:02 [kworker/0:0-events]
root       81921       2  0 19:57 ?        00:00:00 [kworker/2:2-rcu_gp]
root       86532       2  0 20:06 ?        00:00:00 [kworker/1:0]
root       87774       2  0 20:09 ?        00:00:00 [kworker/2:1-mm_percpu_wq]
root       88948       2  0 20:11 ?        00:00:00 [kworker/0:2-events]
root       89079       2  0 20:12 ?        00:00:00 [kworker/3:1-ata_sff]
kali       90989    1152  0 20:15 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/xfconf/xfconfd
root       91075       2  0 20:16 ?        00:00:00 [kworker/u64:3]
root       91468       2  0 20:16 ?        00:00:00 [kworker/0:1-events]
root       91630       2  0 20:17 ?        00:00:00 [kworker/3:2-ata_sff]
kali       94151    2531 99 20:20 pts/0    00:00:00 ps -ef
